curva_i,curva_j,pearson,dtw
"(2, 2, 1)","(2, 3, 7)",0.054616433,25.383672956377268
"(2, 2, 1)","(2, 3, 8)",0.07707385,37.33571584522724
"(2, 2, 1)","(2, 4, 0)",-0.0028215712,32.15313231945038
"(2, 2, 1)","(2, 4, 1)",0.4065808,38.446491964161396
"(2, 2, 1)","(2, 4, 2)",0.017967345,50.138168811798096
"(2, 2, 1)","(2, 4, 3)",0.10157563,78.514718092978
"(2, 2, 1)","(2, 4, 4)",0.11474068,46.79775495454669
"(2, 2, 1)","(2, 4, 5)",0.019731555,23.71112859249115
"(2, 2, 1)","(2, 4, 6)",0.0955996,62.94763474166393
"(2, 2, 1)","(2, 4, 7)",0.09277145,27.504888497292995
"(2, 2, 1)","(2, 4, 8)",0.15977241,38.926373079419136
"(2, 2, 1)","(2, 5, 0)",0.002332039,32.88822769373655
"(2, 2, 1)","(2, 5, 1)",0.45953146,32.03541897982359
"(2, 2, 1)","(2, 5, 2)",0.010059507,49.331827118992805
"(2, 2, 1)","(2, 5, 3)",0.09949245,80.88261874765158
"(2, 2, 1)","(2, 5, 4)",0.09666543,50.29436978325248
"(2, 2, 1)","(2, 5, 5)",0.046868198,24.31343898922205
"(2, 2, 1)","(2, 5, 6)",0.11800627,56.35348865017295
"(2, 2, 1)","(2, 5, 7)",0.116796575,24.558956522494555
"(2, 2, 1)","(2, 5, 8)",0.19258834,34.999615378677845
"(2, 2, 1)","(2, 6, 0)",0.06660044,38.502723924815655
"(2, 2, 1)","(2, 6, 1)",0.39748758,49.52485676109791
"(2, 2, 1)","(2, 6, 2)",0.1964672,50.71790986135602
"(2, 2, 1)","(2, 6, 3)",0.03489243,77.84482496231794
"(2, 2, 1)","(2, 6, 4)",0.24366379,47.15569315105677
"(2, 2, 1)","(2, 6, 5)",0.050128117,32.10918013006449
"(2, 2, 1)","(2, 6, 6)",0.083718695,63.679524295032024
"(2, 2, 1)","(2, 6, 7)",0.034606088,34.63088233023882
"(2, 2, 1)","(2, 6, 8)",-0.023713967,61.52423892170191
"(2, 2, 1)","(2, 7, 0)",0.022561645,46.77046947926283
"(2, 2, 1)","(2, 7, 1)",0.33693495,58.16181590035558
"(2, 2, 1)","(2, 7, 2)",0.13398834,49.7578310072422
"(2, 2, 1)","(2, 7, 3)",0.09234112,73.77767670154572
"(2, 2, 1)","(2, 7, 4)",0.3846575,50.499074175953865
"(2, 2, 1)","(2, 7, 5)",0.058092855,29.69197215884924
"(2, 2, 1)","(2, 7, 6)",0.122410715,66.64586688578129
"(2, 2, 1)","(2, 7, 7)",0.04263094,34.36211960762739
"(2, 2, 1)","(2, 7, 8)",-0.008027363,67.86087054759264
"(2, 2, 1)","(2, 8, 0)",0.03814689,45.69654320925474
"(2, 2, 1)","(2, 8, 1)",0.3493793,57.359211415052414
"(2, 2, 1)","(2, 8, 2)",0.1533692,49.139028161764145
"(2, 2, 1)","(2, 8, 3)",0.046035863,73.76187201589346
"(2, 2, 1)","(2, 8, 4)",0.34883276,49.558036640286446
"(2, 2, 1)","(2, 8, 5)",0.023467993,28.402499604970217
