curva_i,curva_j,pearson,dtw
"(2, 2, 0)","(3, 2, 3)",0.06704479350233923,12.300897795100752
"(2, 2, 0)","(3, 2, 4)",0.3042568968732931,17.686590098702375
"(2, 2, 0)","(3, 2, 5)",-0.03271488192201887,11.35492659925754
"(2, 2, 0)","(3, 2, 6)",0.07555756374963073,14.486181562463884
"(2, 2, 0)","(3, 2, 7)",0.1732288406050832,20.628654805693454
"(2, 2, 0)","(3, 2, 8)",0.02300409811439029,23.241069860652516
"(2, 2, 0)","(3, 3, 0)",0.23764760936365265,43.42115631849582
"(2, 2, 0)","(3, 3, 1)",0.005945425213914288,44.08153260743166
"(2, 2, 0)","(3, 3, 2)",0.07324176851786689,81.57893413145021
"(2, 2, 0)","(3, 3, 3)",0.22707570184110332,105.33007160614726
"(2, 2, 0)","(3, 3, 4)",-0.0731976968907883,68.64028567872938
"(2, 2, 0)","(3, 3, 5)",0.10159552498268051,36.28345653886024
"(2, 2, 0)","(3, 3, 6)",0.08925908047411278,106.28764220313509
"(2, 2, 0)","(3, 3, 7)",-0.003254955300956299,39.23736854882821
"(2, 2, 0)","(3, 3, 8)",-0.11877310228517961,65.52723508955555
"(2, 2, 0)","(3, 4, 0)",0.29270109482605733,50.384179317382824
"(2, 2, 0)","(3, 4, 1)",0.040376044214896656,60.84019314611876
"(2, 2, 0)","(3, 4, 2)",0.019980297215706124,80.95920380516989
"(2, 2, 0)","(3, 4, 3)",0.24754378740600633,110.75094195520492
"(2, 2, 0)","(3, 4, 4)",-0.02765989349606174,62.02572383404722
"(2, 2, 0)","(3, 4, 5)",0.13034441665017776,36.68121343306434
"(2, 2, 0)","(3, 4, 6)",0.18816070936545443,106.21722802784213
"(2, 2, 0)","(3, 4, 7)",0.0869440637563932,36.43361660046331
"(2, 2, 0)","(3, 4, 8)",-0.07872013485891725,72.61857085954334
"(2, 2, 0)","(3, 5, 0)",0.3271689878978576,49.78751567445229
"(2, 2, 0)","(3, 5, 1)",0.08030813908735548,55.48062331387233
"(2, 2, 0)","(3, 5, 2)",0.05832401651299563,89.6701278412014
"(2, 2, 0)","(3, 5, 3)",0.2562263364679429,109.41780289905954
"(2, 2, 0)","(3, 5, 4)",-0.048078278354805035,71.42572952389912
"(2, 2, 0)","(3, 5, 5)",0.13580252245852173,37.45443290102153
"(2, 2, 0)","(3, 5, 6)",0.12215454859639242,107.60269342154872
"(2, 2, 0)","(3, 5, 7)",0.006026813170829483,35.84649373562685
"(2, 2, 0)","(3, 5, 8)",-0.0781057298138384,54.68413494123501
"(2, 2, 0)","(3, 6, 0)",0.22911009465901966,69.33672926446525
"(2, 2, 0)","(3, 6, 1)",0.05431149113439574,78.22788390520267
"(2, 2, 0)","(3, 6, 2)",0.0914474791212258,77.03030269361152
"(2, 2, 0)","(3, 6, 3)",0.2992483742729856,124.49391315801657
